ID;ID_UOR;DT;HH_INC;HH_FIM
0;0;2021-08-02;10:00:00;10:59:59
1;0;2021-08-02;11:00:00;11:59:59
2;0;2021-08-02;12:00:00;12:59:59
3;0;2021-08-02;13:00:00;13:59:59
4;0;2021-08-02;14:00:00;14:59:59
5;0;2021-08-03;10:00:00;10:59:59
6;0;2021-08-03;11:00:00;11:59:59
7;0;2021-08-03;12:00:00;12:59:59
8;0;2021-08-03;13:00:00;13:59:59
9;0;2021-08-03;14:00:00;14:59:59
10;0;2021-08-04;10:00:00;10:59:59
11;0;2021-08-04;11:00:00;11:59:59
12;0;2021-08-04;12:00:00;12:59:59
13;0;2021-08-04;13:00:00;13:59:59
14;0;2021-08-04;14:00:00;14:59:59
15;0;2021-08-05;10:00:00;10:59:59
16;0;2021-08-05;11:00:00;11:59:59
17;0;2021-08-05;12:00:00;12:59:59
18;0;2021-08-05;13:00:00;13:59:59
19;0;2021-08-05;14:00:00;14:59:59
20;0;2021-08-06;10:00:00;10:59:59
21;0;2021-08-06;11:00:00;11:59:59
22;0;2021-08-06;12:00:00;12:59:59
23;0;2021-08-06;13:00:00;13:59:59
24;0;2021-08-06;14:00:00;14:59:59
25;0;2021-08-09;10:00:00;10:59:59
26;0;2021-08-09;11:00:00;11:59:59
27;0;2021-08-09;12:00:00;12:59:59
28;0;2021-08-09;13:00:00;13:59:59
29;0;2021-08-09;14:00:00;14:59:59
30;0;2021-08-10;10:00:00;10:59:59
31;0;2021-08-10;11:00:00;11:59:59
32;0;2021-08-10;12:00:00;12:59:59
33;0;2021-08-10;13:00:00;13:59:59
34;0;2021-08-10;14:00:00;14:59:59
35;0;2021-08-11;10:00:00;10:59:59
36;0;2021-08-11;11:00:00;11:59:59
37;0;2021-08-11;12:00:00;12:59:59
38;0;2021-08-11;13:00:00;13:59:59
39;0;2021-08-11;14:00:00;14:59:59
40;0;2021-08-12;10:00:00;10:59:59
41;0;2021-08-12;11:00:00;11:59:59
42;0;2021-08-12;12:00:00;12:59:59
43;0;2021-08-12;13:00:00;13:59:59
44;0;2021-08-12;14:00:00;14:59:59
45;0;2021-08-13;10:00:00;10:59:59
46;0;2021-08-13;11:00:00;11:59:59
47;0;2021-08-13;12:00:00;12:59:59
48;0;2021-08-13;13:00:00;13:59:59
49;0;2021-08-13;14:00:00;14:59:59
50;0;2021-08-16;10:00:00;10:59:59
51;0;2021-08-16;11:00:00;11:59:59
52;0;2021-08-16;12:00:00;12:59:59
53;0;2021-08-16;13:00:00;13:59:59
54;0;2021-08-16;14:00:00;14:59:59
55;0;2021-08-17;10:00:00;10:59:59
56;0;2021-08-17;11:00:00;11:59:59
57;0;2021-08-17;12:00:00;12:59:59
58;0;2021-08-17;13:00:00;13:59:59
59;0;2021-08-17;14:00:00;14:59:59
60;0;2021-08-18;10:00:00;10:59:59
61;0;2021-08-18;11:00:00;11:59:59
62;0;2021-08-18;12:00:00;12:59:59
63;0;2021-08-18;13:00:00;13:59:59
64;0;2021-08-18;14:00:00;14:59:59
65;0;2021-08-19;10:00:00;10:59:59
66;0;2021-08-19;11:00:00;11:59:59
67;0;2021-08-19;12:00:00;12:59:59
68;0;2021-08-19;13:00:00;13:59:59
69;0;2021-08-19;14:00:00;14:59:59
70;0;2021-08-20;10:00:00;10:59:59
71;0;2021-08-20;11:00:00;11:59:59
72;0;2021-08-20;12:00:00;12:59:59
73;0;2021-08-20;13:00:00;13:59:59
74;0;2021-08-20;14:00:00;14:59:59
75;0;2021-08-23;10:00:00;10:59:59
76;0;2021-08-23;11:00:00;11:59:59
77;0;2021-08-23;12:00:00;12:59:59
